Formula,Is Perovskite,Tolerance Factor*
LaTmSe3,False,0.8620219869860788
LaSmS3,False,0.8234550036712373
LaSmSe3,False,0.8193672346627611
LaCuS3,False,1.3618073992508197
LaCuSe3,False,1.3759112993699665
LaDyS3,False,0.84888033905467
LaDySe3,False,0.8446692005815062
LaEuS3,False,
LaEuSe3,False,
LaTbS3,False,
LaTbSe3,False,
LaCrS3,False,1.1278764195400317
LaCrSe3,False,1.1279146752586169
YbUS3,False,
YbUSe3,False,
YbScS3,False,
YbScSe3,False,
YbCeS3,False,
YbCeSe3,False,
YbErS3,False,
YbErSe3,False,
YbNbS3,False,
YbNbSe3,False,
YbSnS3,False,
YbSnSe3,False,
YbTaS3,False,
YbTaSe3,False,
YbPbS3,False,
YbPbSe3,False,
YbVS3,False,
YbVSe3,False,
YbTiS3,False,
YbTiSe3,False,
YbZrS3,False,
YbZrSe3,False,
YbNdS3,False,
YbNdSe3,False,
YbLuS3,False,
YbLuSe3,False,
YbYS3,False,
YbYSe3,False,
YbPrS3,False,
YbPrSe3,False,
YbHoS3,False,
YbHoSe3,False,
YbTmS3,False,
YbTmSe3,False,
YbSmS3,False,
YbSmSe3,False,
YbCuS3,False,
YbCuSe3,False,
YbDyS3,False,
YbDySe3,False,
YbEuS3,False,
YbEuSe3,False,
TbYbS3,False,
TbYbSe3,False,
YbCrS3,False,
YbCrSe3,False,
ScUS3,False,
ScUSe3,False,
CeUS3,True,0.9766049987187359
CeUSe3,False,0.9857277540455867
ErUS3,False,
ErUSe3,False,
UNbS3,False,
UNbSe3,False,
USnS3,False,
USnSe3,False,
UTaS3,False,
UTaSe3,False,
UPbS3,False,0.8111177762811
UPbSe3,False,0.8003506797639716
UVS3,False,
UVSe3,False,
UTiS3,False,
UTiSe3,False,
ZrUS3,False,
ZrUSe3,False,
NdUS3,True,0.9502152521274466
NdUSe3,False,0.9597220787400363
LuUS3,False,
LuUSe3,False,
YUS3,False,
YUSe3,False,
PrUS3,False,
PrUSe3,False,
CaUS3,True,1.0545891816218307
CaUSe3,False,1.0636858538963565
SrUS3,False,1.0996412739182198
SrUSe3,False,1.1083582789573296
HoUS3,False,
HoUSe3,False,
TmUS3,False,
TmUSe3,False,
SmUS3,True,0.9336216711443388
SmUSe3,False,0.9429310767986059
UCuS3,False,
UCuSe3,False,
DyUS3,False,
DyUSe3,False,
EuUS3,False,
EuUSe3,False,
TbUS3,False,
TbUSe3,False,
UCrS3,False,
UCrSe3,False,
CeScS3,True,0.9332971720793799
CeScSe3,False,0.9281560618078268
ErScS3,False,
ErScSe3,False,
ScNbS3,False,
ScNbSe3,False,
ScSnS3,False,
ScSnSe3,False,
ScTaS3,False,
ScTaSe3,False,
ScPbS3,False,
ScPbSe3,False,
ScVS3,False,
ScVSe3,False,
ScTiS3,False,
ScTiSe3,False,
ZrScS3,False,
ZrScSe3,False,
NdScS3,True,0.9080776863119976
NdScSe3,False,0.9036692549007582
LuScS3,False,
LuScSe3,False,
YScS3,False,
YScSe3,False,
PrScS3,False,
PrScSe3,False,
HoScS3,False,
HoScSe3,False,
TmScS3,False,
TmScSe3,False,
SmScS3,False,0.8922199524006182
SmScSe3,False,0.8878589359036481
ScCuS3,False,
ScCuSe3,False,
DyScS3,False,
DyScSe3,False,
EuScS3,False,
EuScSe3,False,
TbScS3,False,
TbScSe3,False,
ScCrS3,False,
ScCrSe3,False,
CeErS3,False,0.8510052287025918
CeErSe3,False,0.8467215766934307
CeNbS3,True,1.0378361047036744
CeNbSe3,True,1.0380101304067866
CeSnS3,False,
CeSnSe3,False,
CeTaS3,True,0.9929217000113856
CeTaSe3,False,0.9901928935505732
CePbS3,False,0.656667962640555
CePbSe3,False,0.6387618642405295
CeVS3,True,1.0871269993494515
CeVSe3,False,1.0865772170082422
CeTiS3,True,1.0299675289254975
CeTiSe3,True,1.0272058680092988
CeZrS3,False,
CeZrSe3,False,
CeNdS3,False,0.800629261707089
CeNdSe3,False,0.7966145057641788
CeLuS3,False,0.8090682306473419
CeLuSe3,False,0.8017851953147377
CeYS3,False,0.8430250823803137
CeYSe3,False,0.8386485185982625
CePrS3,False,0.796589422205876
CePrSe3,False,0.792571268432922
CaCeS3,False,0.8537785135143934
CaCeSe3,False,0.8489303203959142
SrCeS3,False,0.8902519659846441
SrCeSe3,False,0.8845834937280187
CeHoS3,False,0.8451357296771687
CeHoSe3,False,0.840903621103399
CeTmS3,False,0.8566443658692865
CeTmSe3,False,0.8523262574023789
CeSmS3,False,0.8142092414889691
CeSmSe3,False,0.8101512711989864
CeCuS3,False,
CeCuSe3,False,
CeDyS3,False,0.8393491009164461
CeDySe3,False,0.8351686492264855
CeEuS3,False,
CeEuSe3,False,
TbCeS3,False,
TbCeSe3,False,
CeCrS3,False,1.1152126102249345
CeCrSe3,False,1.115228275317671
ErNbS3,False,
ErNbSe3,False,
ErSnS3,False,
ErSnSe3,False,
ErTaS3,False,
ErTaSe3,False,
ErVS3,False,
ErVSe3,False,
ErTiS3,False,
ErTiSe3,False,
ErZrS3,False,
ErZrSe3,False,
NdErS3,False,0.8280094296202738
NdErSe3,False,0.8243831913661219
ErLuS3,False,
ErLuSe3,False,
YErS3,False,
YErSe3,False,
PrErS3,False,
PrErSe3,False,
HoErS3,False,
HoErSe3,False,
ErTmS3,False,
ErTmSe3,False,
SmErS3,False,0.8135499253190966
SmErSe3,False,0.8099600369203225
ErCuS3,False,
ErCuSe3,False,
DyErS3,False,
DyErSe3,False,
EuErS3,False,
EuErSe3,False,
TbErS3,False,
TbErSe3,False,
ErCrS3,False,
ErCrSe3,False,
NbSnS3,False,
NbSnSe3,False,
TaNbS3,False,
TaNbSe3,False,
NbPbS3,False,0.8343940468179025
NbPbSe3,False,0.8170421719550565
NbVS3,False,
NbVSe3,False,
TiNbS3,False,
TiNbSe3,False,
ZrNbS3,False,
ZrNbSe3,False,
NdNbS3,True,1.0097917757862995
NdNbSe3,True,1.0106251305379663
LuNbS3,False,
LuNbSe3,False,
YNbS3,False,
YNbSe3,False,
PrNbS3,False,
PrNbSe3,False,
CaNbS3,True,1.0848522381278292
CaNbSe3,False,1.0858692599619506
SrNbS3,False,1.131197169416538
SrNbSe3,False,1.1314733384255071
HoNbS3,False,
HoNbSe3,False,
TmNbS3,False,
TmNbSe3,False,
SmNbS3,True,0.9921578117238716
SmNbSe3,False,0.992943544477969
NbCuS3,False,
NbCuSe3,False,
DyNbS3,False,
DyNbSe3,False,
EuNbS3,False,
EuNbSe3,False,
TbNbS3,False,
TbNbSe3,False,
NbCrS3,False,
NbCrSe3,False,
TaSnS3,False,
TaSnSe3,False,
SnPbS3,True,1.0566459555016543
SnPbSe3,False,1.0542177754358153
VSnS3,False,
VSnSe3,False,
TiSnS3,False,
TiSnSe3,False,
ZrSnS3,False,
ZrSnSe3,False,
NdSnS3,False,
NdSnSe3,False,
LuSnS3,False,
LuSnSe3,False,
YSnS3,False,
YSnSe3,False,
PrSnS3,False,
PrSnSe3,False,
CaSnS3,False,1.373817004215584
CaSnSe3,False,1.4010815046572558
SrSnS3,False,1.4325065219452129
SrSnSe3,False,1.4599237918718937
HoSnS3,False,
HoSnSe3,False,
TmSnS3,False,
TmSnSe3,False,
SmSnS3,False,
SmSnSe3,False,
CuSnS3,False,
CuSnSe3,False,
DySnS3,False,
DySnSe3,False,
EuSnS3,False,
EuSnSe3,False,
TbSnS3,False,
TbSnSe3,False,
CrSnS3,False,
CrSnSe3,False,
TaPbS3,False,0.798283998495469
TaPbSe3,False,0.7794041008867333
TaVS3,False,
TaVSe3,False,
TaTiS3,False,
TaTiSe3,False,
ZrTaS3,False,
ZrTaSe3,False,
NdTaS3,True,0.9660910447488489
NdTaSe3,False,0.9640694180028322
LuTaS3,False,
LuTaSe3,False,
YTaS3,False,
YTaSe3,False,
PrTaS3,False,
PrTaSe3,False,
CaTaS3,True,1.0379031175164195
CaTaSe3,True,1.0358473323550077
SrTaS3,True,1.0822423804824486
SrTaSe3,False,1.0793506018210195
HoTaS3,False,
HoTaSe3,False,
TmTaS3,False,
TmTaSe3,False,
SmTaS3,True,0.9492202252664174
SmTaSe3,False,0.947202356352431
TaCuS3,False,
TaCuSe3,False,
DyTaS3,False,
DyTaSe3,False,
EuTaS3,False,
EuTaSe3,False,
TbTaS3,False,
TbTaSe3,False,
TaCrS3,False,
TaCrSe3,False,
VPbS3,False,0.8816974686108564
VPbSe3,False,0.862348226459138
TiPbS3,False,0.8367994546923697
TiPbSe3,False,0.8165890877216841
ZrPbS3,False,0.7384353303711528
ZrPbSe3,False,0.7187713414375284
NdPbS3,False,
NdPbSe3,False,
PrPbS3,False,0.6632414925663997
PrPbSe3,False,0.6450139275338814
CaPbS3,False,1.1707305057489268
CaPbSe3,False,1.1836571863213428
SrPbS3,False,1.220744160087847
SrPbSe3,False,1.2333681388174496
SmPbS3,False,
SmPbSe3,False,
CuPbS3,False,
CuPbSe3,False,
EuPbS3,False,
EuPbSe3,False,
TbPbS3,False,
TbPbSe3,False,
CrPbS3,True,0.9065969722808921
CrPbSe3,False,0.8870362470056828
TiVS3,False,
TiVSe3,False,
ZrVS3,False,
ZrVSe3,False,
NdVS3,True,1.0577507355959181
NdVSe3,False,1.0579109101258877
LuVS3,False,
LuVSe3,False,
YVS3,False,
YVSe3,False,
PrVS3,False,
PrVSe3,False,
CaVS3,False,1.1463546220421168
CaVSe3,False,1.1460821272591468
SrVS3,False,1.1953269376477151
