publication_year;wos_documents
2023;4344
2022;4633
2021;4487
2020;4108
2019;3645
2018;3387
2017;3127
2016;2963
2015;2733
2014;2644
2013;2395
2012;2011
2011;1815
2010;1657
2009;1395
2008;1193
2007;992
2006;791
2005;749
2004;590
2003;548
2002;457
2001;374
2000;345
1999;347
1998;294
1997;240
1996;233
