publication_year;wos_documents
2023;8841
2022;8539
2021;8087
2020;7034
2019;5961
2018;4785
2017;3761
2016;2827
2015;2238
2014;1714
2013;1367
2012;1150
2011;947
2010;826
2009;736
2008;630
2007;564
2006;484
2005;392
2004;338
2003;268
2002;210
2001;186
2000;188
1999;178
1998;164
1997;137
1996;121
