publication_year;wos_documents
2023;5532
2022;5541
2021;4915
2020;4736
2019;4341
2018;3682
2017;3178
2016;2809
2015;2561
2014;2229
2013;1722
2012;1216
2011;917
2010;633
2009;516
2008;427
2007;450
2006;463
2005;327
2004;324
2003;279
2002;219
2001;191
2000;160
1999;121
1998;97
1997;56
1996;49
