publication_year;wos_documents
2023;2572
2022;2382
2021;2279
2020;1977
2019;1794
2018;1595
2017;1488
2016;1235
2015;1101
2014;953
2013;797
2012;702
2011;630
2010;554
2005;512
2009;466
2006;438
2004;400
2002;384
2003;330
2007;312
2008;307
2000;294
2001;274
1999;226
1998;212
1997;146
1996;142
