publication_year;wos_documents
2023;7180
2022;7076
2021;6543
2020;6039
2019;5658
2018;5104
2017;4597
2016;4194
2015;3667
2014;3408
2013;2901
2012;2597
2011;2354
2010;2271
2009;2563
2008;1734
2007;1313
2006;1191
2005;1138
2004;955
2003;876
2002;801
2001;714
2000;666
1999;721
1998;695
1997;654
1996;570
