publication_year;wos_documents
2023;5426
2022;5109
2021;4305
2020;3946
2019;3407
2018;3066
2017;2519
2016;2105
2015;1844
2014;1549
2013;1246
2012;979
2011;752
2010;541
2009;467
2008;327
2007;254
2006;199
2005;131
2004;89
2003;88
2002;53
2001;48
2000;27
1999;28
1998;25
1997;18
1996;15
