publication_year;wos_documents
2023;54343
2022;56277
2021;53612
2020;53341
2019;50000
2018;47224
2017;44651
2016;43185
2015;41699
2014;40688
2013;38615
2012;35356
2011;33706
2010;30939
2009;28636
2008;26753
2007;24597
2006;23346
2005;21073
2004;19689
2003;17482
2002;16672
2001;15651
2000;15088
1999;14713
1998;13879
1997;12661
1996;12406
