publication_year;wos_documents
2023;76010
2022;79936
2021;73154
2020;75213
2019;70984
2018;64247
2017;59405
2016;54377
2015;49692
2014;43836
2013;37177
2012;30975
2011;27221
2010;21456
2009;17976
2008;14791
2007;11353
2006;8974
2005;6818
2004;4934
2003;3522
2002;2509
2001;1747
2000;1298
1999;1022
1998;749
1997;454
1996;312
